word,frequency
choose,24.0
city,24.0
lies,24.0
song,24.0
business,24.0
gave,24.0
american,24.0
rage,24.0
society,24.0
@atrupar,24.0
scary,24.0
losing,24.0
rant,24.0
mine,24.0
thread,24.0
havent,24.0
10,24.0
you've,24.0
low,24.0
@ibegtodiffer6,24.0
online,24.0
died,24.0
peace,24.0
given,24.0
somebody,24.0
games,24.0
perhaps,24.0
@jennife58996304,24.0
hold,24.0
takes,24.0
protecting,24.0
listening,24.0
questions,23.0
@ldr451,23.0
spray,23.0
bet,23.0
incident,23.0
difference,23.0
fast,23.0
@realcandaceo,23.0
trust,23.0
@morrowgirl2,23.0
walking,23.0
book,23.0
immediately,23.0
burn,23.0
reality,23.0
option,23.0
americans,23.0
grown,23.0
open,23.0
@mailonline,23.0
@cavs2023champs,23.0
actively,23.0
esl,23.0
late,23.0
wtf,23.0
showing,23.0
large,23.0
hands,23.0
crime,23.0
100%,23.0
covid,22.0
ridiculous,22.0
non,22.0
internet,22.0
tbh,22.0
abt,22.0
torn,22.0
conversation,22.0
earth,22.0
son,22.0
armed,22.0
sh,22.0
everybody,22.0
handle,22.0
unless,22.0
j,22.0
jealous,22.0
st,22.0
wrote,22.0
throw,22.0
account,22.0
possible,22.0
experience,22.0
columbus,22.0
kyle,22.0
aint,22.0
anyway,22.0
dark,22.0
deserve,22.0
laughing,22.0
riots,21.0
racists,21.0
@kerry_wth,21.0
charged,21.0
@rancidginger,21.0
known,21.0
+,21.0
excuse,21.0
letter,21.0
@radiofreetom,21.0
three,21.0
lying,21.0
complete,21.0
everytime,21.0
share,21.0
terrible,21.0
whos,21.0
@fliptothemfflop,21.0
needed,21.0
app,21.0
replies,21.0
run,21.0
korean,21.0
beautiful,21.0
perfect,21.0
pull,21.0
sex,21.0
political,21.0
bullshit,21.0
involved,21.0
anxiety,21.0
female,21.0
@briankarem,21.0
race,20.0
loved,20.0
jail,20.0
holding,20.0
de,20.0
episode,20.0
po,20.0
lately,20.0
politicians,20.0
crowd,20.0
incredibly,20.0
yea,20.0
difficult,20.0
simple,20.0
hi,20.0
citizens,20.0
fucked,20.0
actual,20.0
plus,20.0
pass,20.0
quick,20.0
disarm,20.0
view,20.0
express,20.0
keeps,20.0
y'all,20.0
gotten,20.0
version,20.0
based,20.0
film,20.0
color,20.0
ma,20.0
sa,20.0
who's,20.0
posting,20.0
likes,20.0
evidence,20.0
speech,20.0
owners,20.0
holy,20.0
danger,20.0
@twinsinmaple,20.0
republicans,20.0
promise,20.0
example,20.0
mostly,20.0
showed,20.0
@laceycrisp,20.0
save,20.0
doubt,20.0
interesting,19.0
loving,19.0
ar,19.0
broke,19.0
@youtube,19.0
lack,19.0
