word,frequency
till,16.0
anime,16.0
reminds,16.0
|,16.0
rlly,16.0
wear,16.0
daily,16.0
ignore,15.0
mfs,15.0
@nypost,15.0
putting,15.0
fo,15.0
member,15.0
@cnn,15.0
color,15.0
paid,15.0
trash,15.0
30,15.0
drugs,15.0
murdered,15.0
bts,15.0
involved,15.0
reasons,15.0
piece,15.0
sadness,15.0
stuck,15.0
proper,15.0
books,15.0
@fordnation,15.0
decision,15.0
player,15.0
@shashitharoor,15.0
sees,15.0
app,15.0
@sad_lakers_fan,15.0
consider,15.0
wall,15.0
explain,15.0
heartbreaking,15.0
posts,15.0
treated,15.0
earlier,15.0
younger,15.0
bed,15.0
folks,15.0
protect,15.0
7,15.0
view,15.0
lord,15.0
hold,15.0
public,15.0
indian,15.0
mess,15.0
ugly,15.0
moving,15.0
you've,15.0
@eman_is_sad,15.0
happiness,15.0
laughing,15.0
allowed,15.0
bless,15.0
reply,15.0
falling,15.0
fault,15.0
james,15.0
hands,15.0
fuckin,15.0
de,15.0
sharing,15.0
teen,14.0
somehow,14.0
ima,14.0
mf,14.0
wearing,14.0
peoples,14.0
@jack,14.0
ground,14.0
li,14.0
closed,14.0
extra,14.0
bag,14.0
failed,14.0
cos,14.0
fell,14.0
major,14.0
harm,14.0
lunch,14.0
match,14.0
possible,14.0
sign,14.0
treat,14.0
taste,14.0
bill,14.0
content,14.0
babies,14.0
football,14.0
states,14.0
leaves,14.0
tryna,14.0
born,14.0
jus,14.0
acc,14.0
mostly,14.0
parent,14.0
tha,14.0
@artie_is_sad,14.0
waste,14.0
doubt,14.0
senate,14.0
industry,14.0
law,14.0
lmfao,14.0
huh,14.0
current,14.0
became,14.0
likely,14.0
cancelled,14.0
goin,14.0
george,14.0
lies,14.0
yup,14.0
worried,14.0
photos,14.0
daddy,14.0
interesting,14.0
15,14.0
showing,14.0
don,14.0
alot,14.0
shut,14.0
lucky,14.0
places,14.0
pretend,14.0
quickly,14.0
english,14.0
se,14.0
singer,14.0
hugs,14.0
clearly,14.0
double,14.0
pic,14.0
hype,14.0
@nickakanicholas,14.0
lowkey,13.0
fellow,13.0
writing,13.0
wonderful,13.0
disturbing,13.0
deal,13.0
@bbcbreaking,13.0
fix,13.0
toxic,13.0
easily,13.0
democrats,13.0
plus,13.0
meant,13.0
followers,13.0
buying,13.0
cus,13.0
@sad_laehcim,13.0
available,13.0
animal,13.0
decades,13.0
shoot,13.0
ben,13.0
hungry,13.0
puts,13.0
blm,13.0
straight,13.0
opportunity,13.0
release,13.0
hello,13.0
plays,13.0
@callofduty,13.0
victim,13.0
90s,13.0
cover,13.0
jesus,13.0
tax,13.0
evidence,13.0
immediately,13.0
body,13.0
names,13.0
numbers,13.0
riplesmckeown,13.0
form,13.0
uk,13.0
message,13.0
obvious,13.0
@snuurid,13.0
daunte,13.0
hospital,13.0
listened,13.0
expected,13.0
beyond,13.0
daughter,13.0
grew,13.0
suppose,13.0
speaking,13.0
science,13.0
pick,13.0
example,13.0
deserved,13.0
answer,13.0
neither,13.0
attack,13.0
block,13.0
office,13.0
crush,13.0
outside,13.0
held,13.0
moved,13.0
covid-19,13.0
mate,13.0
etc,13.0
joe,13.0
father,13.0
director,13.0
exist,13.0
asian,13.0
green,13.0
praying,13.0
ig,13.0
learned,13.0
you'll,13.0
common,13.0
da,13.0
dr,13.0
within,13.0
older,13.0
holy,13.0
:&lt,13.0
kiss,13.0
@reuters,12.0
jobs,12.0
famous,12.0
sexy,12.0
@bungie,12.0
fighting,12.0
dogs,12.0
battle,12.0
quick,12.0
learning,12.0
chose,12.0
ways,12.0
league,12.0
rights,12.0
